sample	dominant_length	offset_from_5	offset_from_3	cds_frame0
gse144140_dmso_rep1_riboseq	30	12	17	0.456
gse144140_dmso_rep2_riboseq	30	12	17	0.451
gse144140_dmso_rep3_riboseq	30	12	17	0.471
gse144140_g418_rep1_riboseq	30	12	17	0.431
gse144140_g418_rep2_riboseq	29	12	16	0.439
gse144140_g418_rep3_riboseq	30	12	17	0.428
gse144140_sri37240_rep1_riboseq	30	12	17	0.456
gse144140_sri37240_rep2_riboseq	29	12	16	0.556
gse144140_sri37240_rep3_riboseq	30	12	17	0.497
