round	r2	held_out	dataset	config
10	0.7503809978479766	545	SRI	published_random_cv
1	0.7508169112322647	631	SRI	grouped_by_gene
2	0.7827779650336537	663	SRI	grouped_by_gene
3	0.6847229106239098	476	SRI	grouped_by_gene
4	0.7725553693551982	597	SRI	grouped_by_gene
5	0.728604354599518	526	SRI	grouped_by_gene
6	0.7526388020732816	473	SRI	grouped_by_gene
7	0.8008535114024343	328	SRI	grouped_by_gene
8	0.8055035550906966	356	SRI	grouped_by_gene
9	0.7750692771093474	713	SRI	grouped_by_gene
10	0.7710667047004539	674	SRI	grouped_by_gene
