quantity	mean_difference	ci_low	ci_high	consistent
downstream_occupancy	-0.0009868639293871028	-0.004815395891512219	0.002841668032738014	False
termination_occupancy	-0.0002957127300409664	-0.014743433224656382	0.014152007764574448	False
frame_gap	-0.06313825622360499	-0.2806699989075904	0.15439348646038042	False
